filename,baseline_psnr,depth_psnr,diff
0001_0.8_0.2.jpg,21.415178,21.501245,0.0860672
0002_0.8_0.08.jpg,23.34568,20.501637,-2.8440437
0003_0.8_0.2.jpg,24.474194,22.89303,-1.5811634
0004_0.9_0.12.jpg,25.847393,22.84376,-3.0036335
0006_0.85_0.08.jpg,23.257425,22.180746,-1.0766792
0007_0.9_0.16.jpg,18.55171,20.987217,2.4355068
0009_0.8_0.16.jpg,18.474503,18.561075,0.08657265
0010_0.95_0.16.jpg,13.944471,15.864886,1.9204149
0011_0.95_0.16.jpg,16.564745,21.103308,4.538563
0014_0.8_0.12.jpg,22.780392,21.936598,-0.84379387
0016_0.8_0.08.jpg,22.048664,19.848728,-2.199936
0017_0.9_0.08.jpg,23.025341,21.09113,-1.9342117
0018_0.9_0.2.jpg,19.369104,22.764133,3.395029
0019_0.8_0.16.jpg,19.471489,21.250296,1.7788067
0021_0.8_0.08.jpg,21.59076,20.396034,-1.194725
0022_0.8_0.08.jpg,21.975925,19.833082,-2.1428432
0023_0.85_0.12.jpg,20.337841,23.080956,2.7431145
0024_0.85_0.08.jpg,22.706575,21.814308,-0.8922672
0025_0.8_0.16.jpg,18.152615,20.755566,2.602951
0026_0.95_0.08.jpg,23.355606,23.749914,0.3943081
0029_0.85_0.08.jpg,22.986359,21.086952,-1.8994064
0030_0.95_0.12.jpg,20.570087,20.433615,-0.1364727
0033_0.85_0.08.jpg,23.268194,20.014305,-3.253889
0034_0.9_0.16.jpg,20.872883,24.579771,3.7068882
0036_1_0.08.jpg,26.635618,22.941637,-3.6939812
0039_0.9_0.2.jpg,17.1806,18.553307,1.3727074
0040_1_0.08.jpg,24.091404,21.38068,-2.7107239
0042_0.8_0.2.jpg,18.986649,18.46241,-0.5242386
0045_0.8_0.16.jpg,19.182379,21.28504,2.1026611
0046_0.9_0.16.jpg,18.427612,23.444592,5.016979
0047_0.9_0.12.jpg,24.012154,24.807442,0.7952881
0048_0.9_0.2.jpg,17.769224,20.325024,2.5557995
0049_0.85_0.12.jpg,24.161274,20.133696,-4.0275784
0051_0.8_0.2.jpg,17.920382,20.00911,2.088728
0051_0.95_0.12.jpg,21.031858,22.541208,1.5093498
0052_0.9_0.16.jpg,17.256353,21.18988,3.933527
0053_0.9_0.12.jpg,18.776741,21.994417,3.2176762
0054_0.85_0.16.jpg,19.690762,22.43613,2.745369
0055_0.85_0.12.jpg,21.965227,22.484226,0.5189991
0056_0.8_0.16.jpg,20.776625,23.319416,2.5427914
0057_0.8_0.12.jpg,22.574823,18.745705,-3.8291187
0058_0.8_0.2.jpg,18.28477,19.770332,1.4855633
0059_0.9_0.12.jpg,22.758694,22.470295,-0.28839874
0060_0.9_0.2.jpg,17.238062,21.247143,4.009081
0061_0.8_0.2.jpg,18.062002,21.394753,3.3327503
0062_0.9_0.2.jpg,14.421331,16.92292,2.5015888
0063_0.8_0.16.jpg,17.269585,19.437346,2.1677608
0064_0.8_0.2.jpg,17.065756,19.175335,2.109579
0065_0.9_0.12.jpg,20.225878,19.933933,-0.2919445
0066_1_0.08.jpg,23.43726,22.863644,-0.573616
0068_1_0.16.jpg,18.26644,18.87751,0.61107063
0069_0.9_0.16.jpg,19.860546,21.40231,1.5417633
0070_0.9_0.12.jpg,21.588099,21.958387,0.37028885
0071_0.8_0.2.jpg,19.704563,20.573769,0.8692055
0072_0.9_0.2.jpg,17.636477,20.895063,3.258587
0073_0.8_0.16.jpg,18.967846,20.278864,1.311018
0074_0.8_0.2.jpg,18.157764,20.144968,1.9872036
0075_0.8_0.2.jpg,19.436514,18.56937,-0.86714363
0076_0.8_0.2.jpg,19.0916,19.98782,0.89621925
0076_1_0.16.jpg,17.690056,19.604504,1.9144478
0077_0.8_0.2.jpg,19.5514,21.033863,1.4824638
0079_0.8_0.12.jpg,20.28957,19.810091,-0.47947884
0081_0.8_0.2.jpg,21.645372,21.365154,-0.28021812
0082_0.85_0.16.jpg,21.66499,21.350151,-0.3148384
0083_0.85_0.12.jpg,22.462166,24.225328,1.7631626
0084_0.95_0.16.jpg,18.045404,20.67047,2.6250648
0085_0.95_0.08.jpg,24.285566,21.084803,-3.2007637
0086_0.8_0.2.jpg,17.953196,20.279913,2.3267174
0086_0.95_0.12.jpg,20.622616,21.663795,1.0411797
0087_0.9_0.16.jpg,18.783155,21.740892,2.957737
0088_0.9_0.12.jpg,21.930004,23.720129,1.7901249
0089_0.9_0.2.jpg,18.121712,20.859392,2.7376804
0090_0.85_0.12.jpg,23.18958,19.710224,-3.4793568
0091_0.85_0.2.jpg,22.225548,20.851639,-1.373909
0092_0.85_0.2.jpg,20.13737,21.07914,0.94177055
0093_0.8_0.08.jpg,22.266258,17.835207,-4.4310513
0094_0.8_0.2.jpg,18.778973,19.837297,1.0583248
0095_0.8_0.08.jpg,21.290115,17.530457,-3.7596588
0096_0.8_0.2.jpg,18.472073,19.472778,1.0007057
0097_0.85_0.08.jpg,24.014565,20.64581,-3.3687553
0098_0.85_0.2.jpg,16.249638,17.657373,1.4077358
0099_0.9_0.16.jpg,18.781507,20.34508,1.5635719
0100_0.9_0.12.jpg,23.321987,23.575499,0.25351143
0101_0.9_0.08.jpg,23.505936,21.336033,-2.1699028
0102_0.85_0.12.jpg,21.812244,24.774893,2.9626484
0104_0.95_0.12.jpg,21.367453,22.380247,1.0127945
0105_0.95_0.2.jpg,17.403505,19.434956,2.0314503
0106_0.9_0.08.jpg,24.570065,20.541256,-4.0288086
0107_0.9_0.08.jpg,24.69121,21.066853,-3.6243572
0108_0.8_0.16.jpg,17.01231,19.712984,2.700674
